account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
106285,,,,,,,,76,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106287,,,,,,,,42,Excluded,Excluded,Excluded,Excluded,Excluded,0,,,,,,,,,,,,
106290,,,,,,,,25,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106291,,,,,,,,6482,Excluded,Excluded,Excluded,8516,6878,6401,5919,Excluded,,,,,,,,,,
106294,,,,,,,,5,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106297,,,,,,,,333,313,340,382,254,303,501,188,Excluded,,,,,,,,,,
106299,,,,,,,,761092,226805,230935,245175,290158,307421,338087,360183,116304,,,,,,,,,,
106300,,,,,,,,24,Excluded,22,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106306,,,,,,,,34,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106309,,,,,,,,4638,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106310,,,,,,,,297,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106311,,,,,,,,181,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106319,,,,,,,,40,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106320,,,,,,,,51,115,58,Excluded,73,73,79,80,Excluded,,,,,,,,,,
106321,,,,,,,,664,751,279,325,374,265,268,Excluded,Excluded,,,,,,,,,,
106322,,,,,,,,47709,22162,24652,21425,14524,14225,12071,5357,Excluded,,,,,,,,,,
106326,,,,,,,,14,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106327,,,,,,,,87,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106338,,,,,,,,2974,2546,2682,3066,3121,2912,2948,2432,1243,,,,,,,,,,
106339,,,,,,,,580,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106340,,,,,,,,157,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106362,,,,,,,,52,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106366,,,,,,,,1196146,645498,633717,733718,825887,833038,916943,920145,325927,,,,,,,,,,
106369,,,,,,,,1298,1339,1125,1497,Excluded,,,,,,,,,,,,,,
106371,,,,,,,,803,569,548,598,528,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106381,,,,,,,,79,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106385,,,,,,,,19777,14348,12595,9886,10650,13001,12281,8610,4216,,,,,,,,,,
106388,,,,,,,,60521,10839,315,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106395,,,,,,,,68,Excluded,Excluded,Excluded,Excluded,107,Excluded,Excluded,Excluded,,,,,,,,,,
106429,,,,,,,,30396,8452,0,0,0,,,,,,,,,,,,,,
106433,,,,,,,,140,141,86,159,93,114,155,222,65,,,,,,,,,,
106453,,,,,,,,38041,17905,14827,12945,11183,11093,10834,9924,10399,,,,,,,,,,
106457,,,,,,,,31221,22032,24366,22575,13419,48601,67806,90516,81785,,,,,,,,,,
106467,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106472,,,,,,,,697217,594504,631108,682940,696056,739791,780508,791551,207220,,,,,,,,,,
106479,,,,,,,,112,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106512,,,,,,,,306,Excluded,Excluded,Excluded,Excluded,212,230,166,Excluded,Excluded,,,,,,,,,
106513,,,,,,,,756,740,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106516,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,
106549,,,,,,,,9404,9070,7946,6813,6799,4098,888,,,,,,,,,,,,
106558,,,,,,,,222,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106560,,,,,,,,30,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106563,,,,,,,,1443585,819673,800287,795321,813633,831075,848646,881263,213783,,,,,,,,,,
106564,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106575,,,,,,,,15,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106577,,,,,,,,2196,2279,2262,2056,2137,2566,1849,1527,605,,,,,,,,,,
106578,,,,,,,,59,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106580,,,,,,,,181607,82069,96942,41949,51766,75855,Excluded,Excluded,Excluded,,,,,,,,,,
106585,,,,,,,,566773,485870,448909,503663,593118,624001,573794,516317,64568,,,,,,,,,,
106589,,,,,,,,37,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106592,,,,,,,,18,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106593,,,,,,,,156134,51571,56202,56300,39468,39093,39570,36201,7501,,,,,,,,,,
106598,,,,,,,,725,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106599,,,,,,,,1369,66,19,0,243,67,109,35,0,,,,,,,,,,
106602,,,,,,,,311,462,271,367,289,266,144,84,Excluded,,,,,,,,,,
106605,,,,,,,,23567,14894,7207,Excluded,Excluded,8073,Excluded,Excluded,5498,,,,,,,,,,
106606,,,,,,,,9,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106607,,,,,,,,17116,12293,13965,12560,10215,82,84,1014,113,,,,,,,,,,
106608,,,,,,,,5500,60420,79905,53135,4690,5605,9157,8843,10061,,,,,,,,,,
106610,,,,,,,,3388,2179,1712,1898,1567,3393,1217,302,264,,,,,,,,,,
106615,,,,,,,,200,422,Excluded,388,116,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106619,,,,,,,,83,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106623,,,,,,,,455,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
