account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100241,0,0,0,17,14,14,0,0,,,,,,,,,,,,,,,,,,
100242,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
100243,10,9,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100244,32,31,31,18,14,14,14,14,1,1,0,1,1,0,0,0,,,,,,,,,,
100245,70,71,71,151,147,147,147,147,76,53,33,25,25,24,24,23,,,,,,,,,,
100246,9092,9093,9093,8657,8654,8654,8654,8654,9585,5707,5306,6057,6602,5911,4055,3431,,,,,,,,,,
100247,11,12,12,,,,,,,,,,,,,,,,,,,,,,,
100248,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100249,619,619,619,859,856,856,856,856,516,262,363,312,273,237,201,166,,,,,,,,,,
100250,6431,6430,6430,6235,8389,7310,7310,7310,4879,4794,4708,4621,4534,4446,4356,4266,,,,,,,,,,
100251,10777,10777,10777,10596,12390,11489,11489,11489,6847,6728,0,0,0,0,0,0,,,,,,,,,,
100252,2062,2063,2063,6182,7030,7030,7030,7030,,,,,,,,,,,,,,,,,,
100253,171,171,171,333,404,404,404,404,145,133,57,73,67,28,23,18,,,,,,,,,,
100254,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100255,40071,40071,40071,34045,34044,34044,34044,34044,26921,23813,20964,18367,16092,14449,12856,11315,,,,,,,,,,
100256,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100257,95626,95627,95627,84390,84388,84388,84388,84388,39182,34324,29878,25827,22943,20290,11351,8991,,,,,,,,,,
100258,56391,56390,56390,51888,51884,51884,51884,51884,25000,24304,23611,22924,22243,21566,20893,20229,,,,,,,,,,
100259,47185,47184,47184,43143,43142,43142,43142,43142,24461,23797,23137,22481,21830,21183,20539,19904,,,,,,,,,,
100260,7606,7606,7606,10172,11018,10592,10592,10592,4809,2363,2321,2278,4469,0,0,0,,,,,,,,,,
100261,80730,86580,83652,60245,60242,60242,60242,60242,62412,60347,58316,56322,54362,52436,50543,48687,,,,,,,,,,
100277,,,,3039,3035,3035,3035,3035,4207,3766,0,0,0,0,0,0,,,,,,,,,,
100278,,,,,,,,,,,,,,,,,,,,,,,,,,
100279,,,,,,,,,,,,,,,,,,,,,,,,,,
100280,,,,91,88,88,88,88,469,420,372,325,280,236,194,154,,,,,,,,,,
100281,,,,13,9,9,9,9,415,371,328,0,0,105,0,0,,,,,,,,,,
100282,,,,,,,,,,,,,,,,,,,,,,,,,,
100283,,,,277,277,277,277,277,0,0,0,0,0,0,0,0,,,,,,,,,,
100284,,,,759,759,759,759,759,3567,3295,0,0,0,0,0,0,,,,,,,,,,
100285,,,,6443,10838,10210,10210,10210,14360,12901,11479,5313,8764,7470,6218,5013,,,,,,,,,,
100286,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
100287,,,,2277,3795,3036,3036,3036,434,388,344,301,259,219,90,143,,,,,,,,,,
