account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
100149,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100150,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100151,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100152,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100153,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100154,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100155,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,
100156,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100157,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100158,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100159,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100160,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100161,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100162,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100163,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100164,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100165,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100166,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100167,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100168,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100169,A,A,A,C,,C,,,,,,,,,,,,,,,,,,,,
100170,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100171,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100172,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,
100173,A,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,,,,,,,,,,,
100174,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100175,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100176,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
100177,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,
100178,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100179,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100180,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100181,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100182,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100183,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100184,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100185,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100186,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100187,A,A,,,C,C,,,,,,,,,,,,,,,,,,,,
100188,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100189,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100190,A,A,A,A,A,A,A,C,,,,,,,,,,,,,,,,,,
100191,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100192,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100193,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100194,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100195,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100196,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100197,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100198,A,A,A,A,C*,C,C,A,A,A,A,A,A,A,A,,,,,,,,,,,
100199,A,A,A,A,C*,C,C,A,A,A,A,A,A,A,A,,,,,,,,,,,
100200,A,A,A,A,C*,C,C,A,A,A,A,A,A,A,A,,,,,,,,,,,
100201,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100202,A,A,A,A,C*,C,C,A,,,,,,,,,,,,,,,,,,
100203,A,A,A,A,C*,C,C,A,,,,,,,,,,,,,,,,,,
100204,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100205,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,
100206,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,
100207,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100208,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100209,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,
100210,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,
100211,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100212,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,
100213,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100214,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100215,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100216,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,
100217,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100218,A,A,A,,C,C,,,,,,,,,,,,,,,,,,,,
100219,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100220,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100221,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,
100222,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100223,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100224,A,A,A,,C,C,,,,,,,,,,,,,,,,,,,,
100225,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100226,A,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,,,,,,,,,,,
100227,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100228,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100229,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100230,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100231,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100232,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100233,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100234,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100235,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100236,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100237,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100238,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100239,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,
100240,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100241,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,
100242,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100243,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100244,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100245,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100246,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
100247,A,A,A,A,C,C,,,,,,,,,,,,,,,,,,,,
100248,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,,,,,,,,
